n,tiempo
1000,0.126207
2000,0.352772
3000,0.452346
4000,0.664772
5000,0.878322
6000,1.11435
7000,1.68773
8000,1.90191
9000,2.29367
10000,2.33971
11000,2.52818
12000,2.96746
13000,4.0739
14000,3.80144
15000,4.20512
16000,4.77327
17000,5.04973
18000,5.96949
19000,6.66472
20000,6.82921
21000,7.28571
22000,8.9388
23000,9.63447
24000,9.23385
25000,10.0239
26000,11.6173
27000,11.2024
28000,11.9106
29000,12.4513
30000,14.2809
31000,14.0048
32000,16.5701
33000,15.5028
34000,16.466
35000,17.564
36000,19.2311
37000,19.1145
38000,22.3005
39000,21.2462
40000,22.3667
41000,23.6419
42000,25.0165
43000,25.1644
44000,26.3094
45000,28.6508
46000,29.0889
47000,30.45
48000,30.9033
49000,32.1488
50000,33.9135
51000,34.7885
52000,35.9647
53000,40.0539
54000,39.5254
55000,42.0166
56000,42.649
57000,43.6393
58000,43.9972
59000,45.563
60000,47.0988
61000,48.418
62000,49.9446
63000,53.0585
64000,53.0101
65000,57.6193
66000,58.4181
67000,58.6699
68000,61.1344
69000,61.9313
70000,64.3882
71000,65.5921
72000,66.5302
73000,69.6243
74000,72.2096
75000,77.3134
76000,76.4546
77000,76.2764
78000,77.2133
79000,79.2621
80000,81.453
81000,83.5121
82000,84.5651
83000,87.114
84000,89.8937
85000,90.7958
86000,92.7423
87000,95.4821
88000,96.9827
89000,98.8156
90000,101.644
91000,103.977
92000,105.358
93000,108.01
94000,109.845
95000,112.521
96000,115.209
97000,116.922
98000,119.718
99000,121.755
100000,124.395
